"id";"name";"description";"price";"stock";"genre";"device";"image_url"
90;"The Last of Us Part II";"An emotional action-adventure game set in a post-apocalyptic world.";59.99;50;"Action";"PlayStation 4";"https://upload.wikimedia.org/wikipedia/en/4/4f/TLOU_P2_Box_Art_2.png"
91;"God of War Ragnarok";"A stunning action-adventure featuring Norse mythology and epic battles.";69.99;40;"Action";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/e/ee/God_of_War_Ragnar%C3%B6k_cover.jpg"
92;"Halo Infinite";"A futuristic first-person shooter with massive multiplayer battles.";49.99;60;"Shooter";"Xbox Series X";"https://upload.wikimedia.org/wikipedia/en/1/14/Halo_Infinite.png"
93;"Forza Horizon 5";"A dynamic open-world racing game set in vibrant Mexico.";59.99;70;"Racing";"Xbox Series X";"https://upload.wikimedia.org/wikipedia/en/8/86/Forza_Horizon_5_cover_art.jpg"
94;"Hades";"A rogue-like dungeon crawler set in Greek mythology.";24.99;80;"RPG";"Nintendo Switch";"https://upload.wikimedia.org/wikipedia/en/c/cc/Hades_cover_art.jpg"
95;"Elden Ring";"An open-world RPG combining dark fantasy with intricate combat.";59.99;45;"RPG";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/thumb/b/b9/Elden_Ring_Box_art.jpg/220px-Elden_Ring_Box_art.jpg"
96;"Resident Evil 4";"A survival horror masterpiece with action-packed gameplay.";39.99;55;"Horror";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/d/d9/Resi4-gc-cover.jpg"
97;"Minecraft";"A sandbox game where creativity and survival meet.";29.99;100;"Adventure";"PC";"https://upload.wikimedia.org/wikipedia/en/b/b6/Minecraft_2024_cover_art.png"
98;"Fortnite";"A battle royale game with building mechanics and unique skins.";0.0;200;"Shooter";"PC";"https://upload.wikimedia.org/wikipedia/en/7/72/Fortnite_BR_cover.jpg"
99;"FIFA 23";"A soccer simulation game featuring realistic teams and stadiums.";49.99;65;"Sports";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/a/a6/FIFA_23_Cover.jpg"
100;"Super Smash Bros. Ultimate";"A fighting game with iconic characters from multiple franchises.";59.99;70;"Fighting";"Nintendo Switch";"https://upload.wikimedia.org/wikipedia/en/5/50/Super_Smash_Bros._Ultimate.jpg"
101;"The Legend of Zelda: Breath of the Wild";"An expansive open-world adventure set in Hyrule.";59.99;60;"Adventure";"Nintendo Switch";"https://upload.wikimedia.org/wikipedia/en/c/c6/The_Legend_of_Zelda_Breath_of_the_Wild.jpg"
102;"Call of Duty: Modern Warfare II";"A first-person shooter featuring intense multiplayer and campaign modes.";69.99;40;"Shooter";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/4/4a/Call_of_Duty_Modern_Warfare_II_Key_Art.jpg"
103;"Red Dead Redemption 2";"An open-world western epic with immersive storytelling.";59.99;50;"Adventure";"PC";"https://upload.wikimedia.org/wikipedia/en/4/44/Red_Dead_Redemption_II.jpg"
104;"Gran Turismo 7";"A realistic driving simulator with stunning visuals and detailed cars.";69.99;30;"Racing";"PlayStation 5";"https://upload.wikimedia.org/wikipedia/en/1/14/Gran_Turismo_7_cover_art.jpg"
105;"Cyberpunk 2077";"A futuristic RPG set in the vibrant Night City.";39.99;40;"RPG";"PC";"https://upload.wikimedia.org/wikipedia/en/9/9f/Cyberpunk_2077_box_art.jpg"
106;"Mario Kart 8 Deluxe";"A fun and fast-paced kart racing game with iconic characters.";59.99;75;"Racing";"Nintendo Switch";"https://upload.wikimedia.org/wikipedia/en/b/b5/MarioKart8Boxart.jpg"
107;"Assassin's Creed Valhalla";"An open-world action-adventure set in Viking-era England.";49.99;55;"Action";"PC";"https://upload.wikimedia.org/wikipedia/en/f/ff/Assassin%27s_Creed_Valhalla_cover.jpg"
